"","term","fraction","preservative","estimate","std.error","conf.level","conf.low","conf.high","statistic","df.error","p.value","effect","p.stars","p.label","group","xpos","xmin","xmax","treatment"
"1","[Template DNA]","X","concentration",0.16046622199982,0.803130074438987,0.95,-1.41363979880157,1.73457224280121,0.19980103734991,Inf,0.841636189998165,"fixed","","0.16 ","pos",8,7.825,8.175,NA
"2","Filter x Neg Ctrl","Filter","Neg Ctrl",-0.077089343721929,0.294825566462203,0.95,-0.654936835709467,0.500758148265609,-0.261474419084384,Inf,0.793726674135253,"fixed","","-0.08 ","neg",7,6.825,7.175,"Neg Ctrl"
"3","Filter x No Pres","Filter","No Pres",1.79020431950472,0.286777806394414,0.95,1.22813014740626,2.35227849160317,6.24247860046252,Inf,4.30690717356219e-10,"fixed","***","1.79 ***","pos",6,5.825,6.175,"No Pres"
"4","Filter x DESS","Filter","DESS",1.39972352773536,0.313141669002723,0.95,0.785977134431257,2.01346992103946,4.46993698473002,Inf,7.82426460800956e-06,"fixed","***","1.40 ***","pos",5,4.825,5.175,"DESS"
"5","Filter x Buffer TL","Filter","Buffer TL",0.661063476048551,0.267896485410641,0.95,0.135996013058834,1.18613093903827,2.46760787113444,Inf,0.0136019231729939,"fixed","*","0.66 *","pos",4,3.825,4.175,"Buffer TL"
"6","Filtrate x Neg Ctrl","Filtrate","Neg Ctrl",-0.0318920819598071,0.315194390202121,0.95,-0.649661734885029,0.585877570965415,-0.101182263870103,Inf,0.919405775836294,"fixed","","-0.03 ","neg",3,2.825,3.175,"Neg Ctrl"
"7","Filtrate x DESS","Filtrate","DESS",-0.101158368981514,0.259929964234197,0.95,-0.610611737383325,0.408294999420297,-0.389175481478429,Inf,0.697146339543804,"fixed","","-0.10 ","neg",2,1.825,2.175,"DESS"
"8","Filtrate x Buffer TL","Filtrate","Buffer TL",0.156349463400009,0.275833329146952,0.95,-0.384273927463799,0.696972854263816,0.56682585778716,Inf,0.570832500784335,"fixed","","0.16 ","pos",1,0.825,1.175,"Buffer TL"
