"","fraction","preservative","term","estimate","std.error","conf.level","conf.low","conf.high","statistic","df.error","p.value","wrap.facet","effect","p.stars","p.label","group","xpos","xmin","xmax"
"1","Filter","No Pres","Filter x No Pres",1.69966476033957,0.179458772440369,0.95,1.34793202964668,2.05139749103246,9.47105977170518,Inf,2.77018718451704e-21,"conditional","fixed","***","1.70 ***","pos",6,5.825,6.175
"2","Filter","DESS","Filter x DESS",1.60409403232252,0.210772654301574,0.95,1.19098722096552,2.01720084367951,7.61054149855407,Inf,2.72949908204009e-14,"conditional","fixed","***","1.60 ***","pos",5,4.825,5.175
"3","Filter","Buffer TL","Filter x Buffer TL",0.164246008169627,0.148062594150592,0.95,-0.125951343823104,0.454443360162358,1.10930116490175,Inf,0.267300282740458,"conditional","fixed","","0.16 ","pos",4,3.825,4.175
"4","Filtrate","Neg Ctrl","Filtrate x Neg Ctrl",0.0860934744119316,0.30794870097798,0.95,-0.517474888590803,0.689661837414666,0.279570831565507,Inf,0.779806788086145,"conditional","fixed","","0.09 ","pos",3,2.825,3.175
"5","Filtrate","DESS","Filtrate x DESS",0.0756435101928914,0.160262315801116,0.95,-0.23846485685628,0.389751877242063,0.471998110190573,Inf,0.636928137494278,"conditional","fixed","","0.08 ","pos",2,1.825,2.175
"6","Filtrate","Buffer TL","Filtrate x Buffer TL",0.973240983344317,0.246499705318669,0.95,0.490110438719989,1.45637152796864,3.94824400331892,Inf,7.87265413788858e-05,"conditional","fixed","***","0.97 ***","pos",1,0.825,1.175
